date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2011/3/3,70.1,71.6,70.1,70.8,0.4,0.57,59498.499,3842,54929,-2806,3509,-6433,72.595,76.00350407,69.18649593
2011/3/4,71.5,72,71.3,71.8,1,1.41,60659.92,4048,52049,921,-1851,2704,72.455,75.75073967,69.15926033
2011/3/7,71.6,71.7,70.9,70.9,-0.9,-1.25,30172.47,4003,51301,-1590,-418,468,72.24,75.3470243,69.1329757
2011/3/8,70.5,71.8,70.5,71.5,0.6,0.85,55818.519,3944,50764,-1785,-2013,4905,72,74.49719843,69.50280157
2011/3/9,72.2,72.2,71.1,71.4,-0.1,-0.14,46796.528,4080,49887,-936,-859,6655,71.795,73.71591124,69.87408876
2011/3/10,72.1,72.1,70.1,70.5,-0.9,-1.26,64180.088,3613,50547,-1622,388,-10532,71.63,73.39419954,69.86580046
2011/3/11,70,70.6,69.5,70,-0.5,-0.71,52600.534,3196,51355,-808,-96,-13523,71.53,73.42113722,69.63886278
2011/3/14,70.3,70.5,69.1,70.3,0.3,0.43,48041.338,3019,50211,-133,1214,-4644,71.475,73.4405788,69.5094212
2011/3/15,70,70.1,66.2,68,-2.3,-3.27,117025.324,2661,51775,-392,2881,-35239,71.25,73.67198266,68.82801734
2011/3/16,68.8,69.1,68.1,68.5,0.5,0.74,62389.483,2574,49782,31,1729,-15951,71.05,73.67792694,68.42207306
2011/3/17,66.8,67.5,65.7,67.4,-1.1,-1.61,105442.287,2427,52250,-3810,1096,-50407,70.815,73.83644005,67.79355995
2011/3/18,67.8,68.4,67.2,68.3,0.9,1.34,55721.233,2357,50498,1216,-775,-16705,70.605,73.71142882,67.49857118
2011/3/21,68.3,69.1,68,69,0.7,1.02,36534.983,2555,49145,-433,-1658,1808,70.405,73.38122244,67.42877756
2011/3/22,69.5,69.5,68.4,68.6,-0.4,-0.58,34736.83,2485,48925,-306,-1084,-12627,70.165,72.90089108,67.42910892
2011/3/23,69.1,69.1,68.1,68.7,0.1,0.15,31238.583,2180,48768,-341,-269,-2767,69.975,72.55947287,67.39052713
2011/3/24,69.1,70.1,69,69.4,0.7,1.02,44747.838,2257,47228,66,2364,510,69.895,72.44645057,67.34354943
2011/3/25,70.4,71.2,70,71.2,1.8,2.59,51712.263,2504,42369,991,-624,20777,69.93,72.53238352,67.32761648
2011/3/28,70.6,71,70.3,71,-0.2,-0.28,31030.915,2096,41150,-305,874,4166,69.955,72.58822996,67.32177004
2011/3/29,70.6,71.2,70.4,70.8,-0.2,-0.28,34871.283,1493,40943,566,452,4873,69.925,72.50482558,67.34517442
2011/3/30,70.3,70.8,70,70.3,-0.5,-0.71,60975.449,40,42594,540,404,-15035,69.92,72.49650927,67.34349073
2011/3/31,71,71,70,70.6,0.3,0.43,46429.498,0,41844,-107,-162,-2910,69.91,72.47429327,67.34570673
2011/4/1,70.7,70.8,70.1,70.7,0.1,0.14,30274.033,0,41500,-708,462,4307,69.855,72.2991563,67.4108437
2011/4/6,71.5,72.9,71.5,72.9,2.2,3.11,114460.25,0,35193,1403,2465,34601,69.955,72.70634513,67.20365487
